"","parname","ProportionalGenerality","ParasiteCloseness","ParasiteBetweenness","HostProportionalGenerality","HostBetweenness"
"106","Leishmania chagasi",0.00460789002561614,0.000487383351572455,0,0.0230405338572752,0.00256967596443184
"107","Leishmania donovani",0.00460789002561614,0.000486839143866223,0,0.0175108057315292,2.08162428262544e-07
"108","Leishmania infantum",0.032255230179313,0.000567517936315036,2.24302235958915e-05,0.0472660094557817,0.0170495472012742
"109","Leishmania shawi",0.00921578005123228,0.000415384672038033,0,0.00875540286576458,0.000889921939989013
"110","Metadinium medium",0.00921578005123228,0.000519355554313553,2.74458132491042e-07,0.0479243104231325,0.000631044401277903
"111","Neospora caninum",0.170491930947797,0.000738852662493573,0.00948466051777474,0.0437396513009463,0.0108161072199401
"112","Ostracodinium gracile",0.00460789002561614,0.000516453113213652,0,0.0645134948003707,0.00122805424553488
"113","Ostracodinium mammosum",0.00460789002561614,0.000516453113213652,0,0.0645134948003707,0.00122805424553488
"114","Ostracodinium trivesiculatum",0.00460789002561614,0.000516453113213652,0,0.0645134948003707,0.00122805424553488
"115","Paraisotricha minuta",0.00460789002561614,0.00044577867243106,0,0.00921621354291009,0
"116","Paraplagiopyla kiboko",0.00460789002561614,0.00044577867243106,0,0.00921621354291009,0
"117","Parentodinium africanum",0.00460789002561614,0.00044577867243106,0,0.00921621354291009,0
"118","Parentodinium ostrea",0.00460789002561614,0.00044577867243106,0,0.00921621354291009,0
"119","Pentatrichomonas hominis",0.0138236700768484,0.000530629723960981,2.76491155694679e-06,0.0405513395888044,0.0123633197768787
"120","Plasmodium brasilianum",0.133628810742868,0.000539309836875373,0.00552812001141161,0.00959757410330637,0.003316669026435
"121","Plasmodium coatneyi",0.0138236700768484,0.000410749836406628,9.88049276967749e-07,0.0168963914953352,0.00412737771823777
"122","Plasmodium cynomolgi",0.0368631202049291,0.000506612023859299,0.00170480499317201,0.0137091176450788,0.00191421826680879
"123","Plasmodium eylesi",0.00460789002561614,0.000385861403974977,0,0.00645134948003707,0.00317739130499946
"124","Plasmodium falciparum",0.0230394501280807,0.000557268691181011,0.000183827773272178,0.0370491784424986,0.0251563927578024
"125","Plasmodium fieldi",0.00921578005123228,0.000408210200444215,0,0.0179716164086747,0.00459144239737314
"126","Plasmodium fragile",0.00921578005123228,0.000471057120385511,0,0.0110594562514921,0.00112936396519917
"127","Plasmodium gaboni",0.00460789002561614,0.000520924686533187,0,0.0635918734460797,0.0356188451719332
"128","Plasmodium georgesi",0.00921578005123228,0.000455102764464492,0,0.0105986455743466,3.18431743670347e-05
"129","Plasmodium girardi",0.00460789002561614,0.000407602501838923,0,0.00737297083432808,0.000302876333122001
"130","Plasmodium gonderi",0.032255230179313,0.000466857650919092,4.16261500944746e-06,0.00868957276902953,0.000454901409594376
"131","Plasmodium hylobati",0.00460789002561614,0,0,0.00092162135429101,0
"132","Plasmodium inui",0.0460789002561614,0.000485950271279378,0.00367926866971589,0.010045672761772,0.0013074065066258
"133","Plasmodium jefferyi",0.00460789002561614,0.000385861403974977,0,0.00645134948003707,0.00317739130499946
"134","Plasmodium knowlesi",0.0138236700768484,0.000408482304297331,2.9406228481183e-07,0.0138243203143652,0.00306096159824876
"135","Plasmodium petersi",0.00921578005123228,0.000455102764464492,0,0.0105986455743466,3.18431743670347e-05
"136","Plasmodium pitheci",0.00460789002561614,0.000451356801419932,0,0.0211972911486932,3.54822320902063e-06
"137","Plasmodium reichenowi",0.00921578005123228,0.000530357620107865,2.76491155694679e-06,0.0566797132888971,0.0185437306907484
"138","Plasmodium rodhaini",0.00921578005123228,0.000530357620107865,2.76491155694679e-06,0.0601357933674884,0.0270812879313408
"139","Plasmodium schwetzi",0.00921578005123228,0.000530357620107865,2.76491155694679e-06,0.0566797132888971,0.0185437306907484
"140","Plasmodium shortii",0.00921578005123228,0.000471057120385511,0,0.0110594562514921,0.00112936396519917
"141","Plasmodium simiovale",0.00460789002561614,0.00046960589983556,0,0.0156675630229472,0.00224342799192105
"142","Plasmodium simium",0.0184315601024646,0.000508199296335808,6.56204444046763e-06,0.0168195897158109,0.0171270449139702
"143","Plasmodium vivax",0.0184315601024646,0.000552098717971812,4.68350459740797e-05,0.0398601235730861,0.0271448902222771
"144","Plasmodium youngi",0.00460789002561614,0.000385861403974977,0,0.00645134948003707,0.00317739130499946
"145","Polyplastron multivesiculatum",0.00460789002561614,0.000516453113213652,0,0.0645134948003707,0.00122805424553488
"146","Prototapirella gorillae",0.00460789002561614,0.000500190372925768,0,0.0497675531317145,0.00146861620956363
"147","Retortamonas intestinalis",0.0138236700768484,0.00047525658985193,8.23374397473124e-07,0.0168963914953352,5.67205115891991e-05
"148","Sarcocystis alces",0.00460789002561614,0.000521713787707222,0,0.0506891744860055,0.000217045016451404
"149","Sarcocystis alceslatrans",0.00460789002561614,0.000521713787707222,0,0.0506891744860055,0.000217045016451404
"150","Sarcocystis americana",0.00460789002561614,0.000508471400188924,0,0.0543756599031696,1.13656685831349e-05
"151","Sarcocystis arctosi",0.00460789002561614,0.000489242727902079,0,0.0175108057315292,4.49333470149576e-06
"152","Sarcocystis arieticanis",0.00460789002561614,0.000458513132756876,0,0.0239621552115663,0
"153","Sarcocystis axicuonis",0.00921578005123228,0.000459238743031851,0,0.0105986455743466,0.000647655763053254
"154","Sarcocystis camelopardalis",0.00460789002561614,0.000503709582759398,0,0.0239621552115663,2.89345775284935e-06
"155","Sarcocystis capracanis",0.00460789002561614,0.000458513132756876,0,0.0239621552115663,0
"156","Sarcocystis capreolicanis",0.00460789002561614,0.000553368535953019,0,0.134556717726487,0.134339936655935
"157","Sarcocystis cornagliai",0.00921578005123228,0.000518085736332346,3.13666437132619e-07,0.045620257037405,0.0103419956440406
"158","Sarcocystis danzani",0.00460789002561614,0.000363594238661673,0,0.00460810677145505,0
"159","Sarcocystis dubeyella",0.00460789002561614,0.000445905654229181,0,0.0442378250059684,0.00177853978707517
"160","Sarcocystis elegans",0.00460789002561614,0.00041216477644283,0,0.0147459416686562,0.00369493960289068
"161","Sarcocystis felis",0.00460789002561614,0.000495138311386253,0,0.0313351260458943,0.00247590027737406
"162","Sarcocystis fusiformis",0.00460789002561614,0.000523255709541545,0,0.0792594364690268,0.00239040093922541
"163","Sarcocystis gazellae",0.00460789002561614,0.000451257030007123,0,0.0405513395888044,0.000487100082134352
"164","Sarcocystis giraffae",0.00460789002561614,0.000503709582759398,0,0.0239621552115663,2.89345775284935e-06
"165","Sarcocystis grueneri",0.00921578005123228,0.000557177989896639,1.6386167021317e-07,0.0967702422005558,0.067416898034745
"166","Sarcocystis hardangeri",0.00460789002561614,0.000499310570467361,0,0.0368648541716404,2.62284659610805e-05
"167","Sarcocystis hemioni",0.00460789002561614,0.000508471400188924,0,0.0543756599031696,1.13656685831349e-05
"168","Sarcocystis hemionilatrantis",0.00460789002561614,0.000508471400188924,0,0.0543756599031696,1.13656685831349e-05
"169","Sarcocystis hominis",0.00460789002561614,0.000515954256149606,0,0.0534540385488785,0.0159932174971274
"170","Sarcocystis kirkpatricki",0.00460789002561614,0.000557903600171614,0,0.150224280749435,0.0466763360385458
"171","Sarcocystis klaseriensis",0.00460789002561614,0.000503709582759398,0,0.0239621552115663,2.89345775284935e-06
"172","Sarcocystis melampi",0.00460789002561614,0.000518720645322949,0,0.0755729510518628,0.0352864711413631
"173","Sarcocystis mephitisi",0.00460789002561614,0.000502938621842237,0,0.0359432328173494,0.00161253957729394
"174","Sarcocystis mongolica",0.00460789002561614,0.000363594238661673,0,0.00460810677145505,0
"175","Sarcocystis neurona",0.032255230179313,0.000597812165295254,0.000137278944875493,0.0518741162272369,0.0123998358437424
"176","Sarcocystis odocoileocanis",0.00460789002561614,0.000530874617428785,0,0.0847891645947729,0.00694997549363207
