ParasiteCorrectedName,have_zooscore,have_trait,Note,Insect,GenusOnly,Commensal.,ZooScore,ConfidenceScore,XC_ZooScore,XC_CScore,XC_Notes,XC_WhoBy,XC_Date,PGF_ZooScore,PGF_CScore,PGF_notes,Non.GMPD,SearchStringGoog,Googlehits.As.of.2.8.2017.,SearchStringWOS,WOShits..As.of.2.6.2017.,Notes,Citation,PrintRef,WhoBy,DateEntry,XCCitation,PGF.Citation,PGF.more.citations,Nematode,GMPD_traits,GMPD_tax,Google,Tao.note,GMPDtraits,GMPDtax
Entodinium minimum,1,NA,NA,NA,0,,-1,2,-1,2,,VR,42713,,,,,Entodinium minimum,688,Entodinium minimum,1,ruminants only,"Kowalik et al., 2008",,VR,42713,,,,NA,0,1,No,,,
Entodinium rectangulatum,NA,NA,not on gideon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epidinium bulbiferum,1,NA,NA,NA,0,,,,-1,3,,VR,42713,,,,,Epidinium bulbiferum,10,Epidinium bulbiferum,0,,Gocmen 1999,,VR,42713,,,,NA,0,1,No,,,
Epidinium caudatum,1,NA,NA,NA,0,,,,-1,2,,VR,42713,,,,,Epidinium caudatum,829,Epidinium caudatum,46,,"Shin et al., 2004",,VR,42713,,,,NA,0,1,No,,,
Epidinium gigas,1,NA,NA,NA,0,,,,-1,3,,VR,42713,,,,,Epidinium gigas,33,Epidinium gigas,1,,Ishaq and Wright 2015,,VR,42713,,,,NA,0,1,No,,,
Eudiplodinium maggi,1,NA,NA,NA,0,,,,-1,3,,VR,42712,,,,,Eudiplodinium maggi,82,Eudiplodinium maggi,2,,Nakamura and Kanegasaki 1969,,VR,42712,,,,NA,0,1,No,,,
Gorillophilus thoracatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hammondia heydorni,NA,1,"Neospora caninum (a synonym of Hammondia heydorni). Darius, Anne Kathrin, Heinz Mehlhorn, and Alfred Otto Heydorn. ""Effects of toltrazuril and ponazuril on the fine structure and multiplication of tachyzoites of the NC-1 strain of Neospora caninum (a synonym of Hammondia heydorni) in cell cultures."" Parasitology Research 92.6 (2004): 453-458.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hepatocystis bovillezi,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isospora africana,NA,1,Can't find synonym. Not in GMPD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isospora altaica,NA,1,isospora altaica synonym cystoisospora altaica. Can't find them in humans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isospora hoogstraali,NA,1,Cystoisospora hoogstraali (synonym).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isospora martessii,NA,1,synonym cystoisospora,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isospora zorillae,NA,1,"Synonym: Isospora begemina var zorillae Prasad, 1961",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
